,sofifa_id,link
64,171919,https://fbref.com/en/players/03bd0bf4/all_comps/Naldo-Stats---All-Competitions
65,176635,https://fbref.com/en/players/16380240/all_comps/Mesut-Ozil-Stats---All-Competitions
66,177509,https://fbref.com/en/players/3b15ef2d/all_comps/Medhi-Benatia-Stats---All-Competitions
67,180206,https://fbref.com/en/players/ad6df2d5/all_comps/Miralem-Pjanic-Stats---All-Competitions
68,181458,https://fbref.com/en/players/6fe90922/all_comps/Ivan-Perisic-Stats---All-Competitions
69,183907,https://fbref.com/en/players/2db2fd7b/all_comps/Jerome-Boateng-Stats---All-Competitions
70,184344,https://fbref.com/en/players/52ec54d0/all_comps/Leonardo-Bonucci-Stats---All-Competitions
71,189509,https://fbref.com/en/players/77e84962/all_comps/Thiago-Alcantara-Stats---All-Competitions
72,189513,https://fbref.com/en/players/7460ca0d/all_comps/Daniel-Parejo-Stats---All-Competitions
73,189596,https://fbref.com/en/players/3c6089ab/all_comps/Thomas-Muller-Stats---All-Competitions
74,190483,https://fbref.com/en/players/4fa7cb9b/all_comps/Douglas-Costa-Stats---All-Competitions
75,191043,https://fbref.com/en/players/0d82903c/all_comps/Alex-Sandro-Stats---All-Competitions
76,191202,https://fbref.com/en/players/eb7822d7/all_comps/Nemanja-Matic-Stats---All-Competitions
77,192366,https://fbref.com/en/players/0d267745/all_comps/Nicolas-Otamendi-Stats---All-Competitions
78,220834,https://fbref.com/en/players/45af8a54/all_comps/Marco-Asensio-Stats---All-Competitions
79,232363,https://fbref.com/en/players/30f5ffa9/all_comps/Milan-Skriniar-Stats---All-Competitions
80,208421,https://fbref.com/en/players/c14bc029/all_comps/Saul-Niguez-Stats---All-Competitions
81,212831,https://fbref.com/en/players/7a2e46a8/all_comps/Alisson-Stats---All-Competitions
82,223848,https://fbref.com/en/players/4e6dbac4/all_comps/Sergej-Milinkovic-Savic-Stats---All-Competitions
83,209499,https://fbref.com/en/players/7f3b388c/all_comps/Fabinho-Stats---All-Competitions
84,216594,https://fbref.com/en/players/bece776f/all_comps/Nabil-Fekir-Stats---All-Competitions
85,202652,https://fbref.com/en/players/b400bde0/all_comps/Raheem-Sterling-Stats---All-Competitions
86,212622,https://fbref.com/en/players/49296448/all_comps/Joshua-Kimmich-Stats---All-Competitions
