,sofifa_id,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won_pct
56,171919.0,1.0,0.0,0.0,12.0,7.0,2.0,0.0,0.0,1.0,0.0,139.0,59.3
57,176635.0,3.0,0.0,0.0,18.0,30.0,15.0,42.0,0.0,0.0,0.0,164.0,18.8
58,177509.0,2.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,1.0,0.0,60.0,56.3
59,180206.0,9.0,1.0,1.0,51.0,29.0,1.0,44.0,0.0,0.0,0.0,347.0,26.5
60,181458.0,7.0,0.0,0.0,42.0,19.0,10.0,223.0,0.0,0.0,0.0,251.0,46.8
61,183907.0,1.0,0.0,0.0,23.0,12.0,0.0,6.0,0.0,3.0,0.0,303.0,75.9
62,184344.0,2.0,0.0,0.0,20.0,27.0,2.0,4.0,1.0,0.0,1.0,346.0,45.9
63,189509.0,6.0,0.0,0.0,67.0,45.0,1.0,26.0,1.0,0.0,0.0,436.0,47.8
64,189513.0,10.0,1.0,0.0,49.0,92.0,1.0,94.0,0.0,2.0,0.0,477.0,53.1
65,189596.0,1.0,1.0,0.0,29.0,34.0,18.0,115.0,0.0,0.0,0.0,189.0,45.1
66,190483.0,2.0,1.0,0.0,15.0,13.0,1.0,57.0,0.0,0.0,0.0,54.0,0.0
67,191043.0,11.0,0.0,0.0,67.0,70.0,2.0,122.0,0.0,2.0,0.0,330.0,60.4
68,191202.0,12.0,1.0,1.0,41.0,29.0,4.0,15.0,0.0,0.0,0.0,444.0,59.7
69,192366.0,5.0,1.0,1.0,26.0,11.0,1.0,2.0,0.0,1.0,0.0,182.0,71.8
70,220834.0,4.0,0.0,0.0,25.0,31.0,10.0,101.0,3.0,0.0,0.0,122.0,23.1
71,232363.0,8.0,0.0,0.0,53.0,39.0,1.0,3.0,0.0,1.0,1.0,496.0,53.8
72,208421.0,11.0,0.0,0.0,73.0,37.0,7.0,49.0,0.0,1.0,1.0,393.0,59.6
73,223848.0,10.0,1.0,0.0,67.0,42.0,12.0,36.0,0.0,0.0,0.0,248.0,51.5
74,209499.0,10.0,0.0,0.0,51.0,45.0,0.0,10.0,0.0,0.0,0.0,375.0,59.0
75,216594.0,8.0,0.0,0.0,66.0,89.0,27.0,52.0,1.0,0.0,0.0,149.0,26.5
76,202652.0,5.0,0.0,0.0,64.0,59.0,22.0,126.0,3.0,0.0,0.0,208.0,29.3
77,212622.0,7.0,0.0,0.0,35.0,78.0,3.0,189.0,1.0,0.0,0.0,420.0,45.0
78,192774.0,6.0,0.0,0.0,34.0,23.0,1.0,1.0,0.0,0.0,0.0,342.0,66.0
79,197445.0,4.0,0.0,0.0,20.0,12.0,7.0,138.0,0.0,0.0,0.0,326.0,57.9
80,203376.0,4.0,0.0,0.0,20.0,27.0,2.0,7.0,0.0,1.0,0.0,673.0,77.8
81,184087.0,5.0,0.0,0.0,18.0,5.0,1.0,6.0,0.0,1.0,1.0,463.0,50.9
82,193747.0,11.0,1.0,1.0,39.0,53.0,2.0,59.0,1.0,0.0,0.0,326.0,44.1
83,9014.0,3.0,1.0,1.0,10.0,9.0,9.0,22.0,0.0,0.0,0.0,60.0,75.0
84,120533.0,3.0,0.0,0.0,6.0,10.0,2.0,1.0,0.0,0.0,0.0,41.0,63.6
85,139720.0,7.0,0.0,0.0,22.0,2.0,1.0,1.0,0.0,0.0,0.0,175.0,67.4
