_id,latitude,longitude
5faff5b4d77f2daa19a56038,40.7078343,-74.0136605
5faff5b3d77f2daa19a546fa,40.7185614,-73.998662
5faff5b3d77f2daa19a543eb,40.723652,-73.985281
5faff5b4d77f2daa19a553f9,40.740308,-74.007199
5faff5b3d77f2daa19a54d39,40.74034,-74.00721
5faff5b4d77f2daa19a56717,40.7408042,-74.00717
5faff5b4d77f2daa19a558c5,40.739867,-73.990024
5faff5b3d77f2daa19a5422f,40.740231,-73.985433
5faff5b4d77f2daa19a56773,40.7450497,-73.9900984
5faff5b4d77f2daa19a55601,40.744618,-73.987764
5faff5b4d77f2daa19a5518a,40.7481039,-74.0353787
5faff5b3d77f2daa19a54fae,40.7481039,-74.0353787
5faff5b4d77f2daa19a55eda,40.750597,-73.985273
5faff5b4d77f2daa19a55805,40.756054,-73.986951
5faff5b4d77f2daa19a5523b,40.775309,-73.983656
5faff5b4d77f2daa19a5505e,40.775309,-73.983656
5faff5b4d77f2daa19a55805,40.756054,-73.986951
5faff5b4d77f2daa19a55eda,40.750597,-73.985273
5faff5b4d77f2daa19a56773,40.7450497,-73.9900984
5faff5b4d77f2daa19a55601,40.744618,-73.987764
5faff5b4d77f2daa19a5505e,40.775309,-73.983656
5faff5b4d77f2daa19a5523b,40.775309,-73.983656
5faff5b3d77f2daa19a5422f,40.740231,-73.985433
5faff5b4d77f2daa19a558c5,40.739867,-73.990024
5faff5b4d77f2daa19a56717,40.7408042,-74.00717
5faff5b3d77f2daa19a54d39,40.74034,-74.00721
5faff5b4d77f2daa19a553f9,40.740308,-74.007199
5faff5b3d77f2daa19a543eb,40.723652,-73.985281
5faff5b3d77f2daa19a54fae,40.7481039,-74.0353787
5faff5b4d77f2daa19a5518a,40.7481039,-74.0353787
5faff5b3d77f2daa19a546fa,40.7185614,-73.998662
5faff5b4d77f2daa19a56038,40.7078343,-74.0136605
5faff5b4d77f2daa19a56038,40.7078343,-74.0136605
5faff5b3d77f2daa19a546fa,40.7185614,-73.998662
5faff5b3d77f2daa19a543eb,40.723652,-73.985281
5faff5b4d77f2daa19a553f9,40.740308,-74.007199
5faff5b3d77f2daa19a54d39,40.74034,-74.00721
5faff5b4d77f2daa19a56717,40.7408042,-74.00717
5faff5b4d77f2daa19a558c5,40.739867,-73.990024
5faff5b3d77f2daa19a5422f,40.740231,-73.985433
5faff5b4d77f2daa19a56773,40.7450497,-73.9900984
5faff5b4d77f2daa19a55601,40.744618,-73.987764
5faff5b4d77f2daa19a5518a,40.7481039,-74.0353787
5faff5b3d77f2daa19a54fae,40.7481039,-74.0353787
5faff5b4d77f2daa19a55eda,40.750597,-73.985273
5faff5b4d77f2daa19a55805,40.756054,-73.986951
5faff5b4d77f2daa19a5505e,40.775309,-73.983656
5faff5b4d77f2daa19a5523b,40.775309,-73.983656
5faff5b4d77f2daa19a55eda,40.750597,-73.985273
5faff5b4d77f2daa19a55601,40.744618,-73.987764
5faff5b4d77f2daa19a56773,40.7450497,-73.9900984
5faff5b3d77f2daa19a5422f,40.740231,-73.985433
5faff5b4d77f2daa19a55805,40.756054,-73.986951
5faff5b4d77f2daa19a558c5,40.739867,-73.990024
5faff5b4d77f2daa19a56717,40.7408042,-74.00717
5faff5b3d77f2daa19a54d39,40.74034,-74.00721
5faff5b4d77f2daa19a553f9,40.740308,-74.007199
5faff5b3d77f2daa19a543eb,40.723652,-73.985281
5faff5b4d77f2daa19a5505e,40.775309,-73.983656
5faff5b4d77f2daa19a5523b,40.775309,-73.983656
5faff5b3d77f2daa19a546fa,40.7185614,-73.998662
5faff5b3d77f2daa19a54fae,40.7481039,-74.0353787
5faff5b4d77f2daa19a5518a,40.7481039,-74.0353787
5faff5b4d77f2daa19a56038,40.7078343,-74.0136605
5faff5b3d77f2daa19a54fae,40.7481039,-74.0353787
5faff5b4d77f2daa19a5518a,40.7481039,-74.0353787
5faff5b4d77f2daa19a56717,40.7408042,-74.00717
5faff5b3d77f2daa19a54d39,40.74034,-74.00721
5faff5b4d77f2daa19a553f9,40.740308,-74.007199
5faff5b4d77f2daa19a56773,40.7450497,-73.9900984
5faff5b4d77f2daa19a558c5,40.739867,-73.990024
5faff5b4d77f2daa19a55601,40.744618,-73.987764
5faff5b4d77f2daa19a55805,40.756054,-73.986951
5faff5b4d77f2daa19a55eda,40.750597,-73.985273
5faff5b3d77f2daa19a5422f,40.740231,-73.985433
5faff5b3d77f2daa19a546fa,40.7185614,-73.998662
5faff5b4d77f2daa19a56038,40.7078343,-74.0136605
5faff5b3d77f2daa19a543eb,40.723652,-73.985281
5faff5b4d77f2daa19a5523b,40.775309,-73.983656
5faff5b4d77f2daa19a5505e,40.775309,-73.983656
5faff5b3d77f2daa19a54fae,40.7481039,-74.0353787
5faff5b4d77f2daa19a5518a,40.7481039,-74.0353787
5faff5b4d77f2daa19a56717,40.7408042,-74.00717
5faff5b3d77f2daa19a54d39,40.74034,-74.00721
5faff5b4d77f2daa19a553f9,40.740308,-74.007199
5faff5b4d77f2daa19a56773,40.7450497,-73.9900984
5faff5b4d77f2daa19a558c5,40.739867,-73.990024
5faff5b4d77f2daa19a55601,40.744618,-73.987764
5faff5b4d77f2daa19a55805,40.756054,-73.986951
5faff5b4d77f2daa19a55eda,40.750597,-73.985273
5faff5b3d77f2daa19a5422f,40.740231,-73.985433
5faff5b3d77f2daa19a546fa,40.7185614,-73.998662
5faff5b4d77f2daa19a56038,40.7078343,-74.0136605
5faff5b3d77f2daa19a543eb,40.723652,-73.985281
5faff5b4d77f2daa19a5523b,40.775309,-73.983656
5faff5b4d77f2daa19a5505e,40.775309,-73.983656
5faff5b3d77f2daa19a54fae,40.7481039,-74.0353787
5faff5b4d77f2daa19a5518a,40.7481039,-74.0353787
5faff5b4d77f2daa19a56717,40.7408042,-74.00717
5faff5b3d77f2daa19a54d39,40.74034,-74.00721
5faff5b4d77f2daa19a553f9,40.740308,-74.007199
5faff5b4d77f2daa19a56773,40.7450497,-73.9900984
5faff5b4d77f2daa19a558c5,40.739867,-73.990024
5faff5b4d77f2daa19a55601,40.744618,-73.987764
5faff5b4d77f2daa19a55805,40.756054,-73.986951
5faff5b4d77f2daa19a55eda,40.750597,-73.985273
5faff5b3d77f2daa19a5422f,40.740231,-73.985433
5faff5b3d77f2daa19a546fa,40.7185614,-73.998662
5faff5b4d77f2daa19a56038,40.7078343,-74.0136605
5faff5b3d77f2daa19a543eb,40.723652,-73.985281
5faff5b4d77f2daa19a5523b,40.775309,-73.983656
5faff5b4d77f2daa19a5505e,40.775309,-73.983656
