,sofifa_id,touches,touches_live_ball,dribbles_completed_pct,carries,carry_distance,passes_received_pct,miscontrols,dispossessed
0,193080.0,1399.0,897.0,0.0,600.0,2829.0,99.2,0.0,0.0
1,200389.0,1096.0,672.0,100.0,416.0,2393.0,99.4,1.0,0.0
2,192119.0,1076.0,789.0,100.0,583.0,2840.0,100.0,0.0,0.0
3,167495.0,1296.0,1077.0,100.0,872.0,3933.0,99.6,2.0,0.0
4,192448.0,1512.0,1193.0,100.0,908.0,3553.0,99.2,0.0,0.0
5,162835.0,1605.0,1194.0,0.0,865.0,3366.0,99.9,0.0,0.0
6,167948.0,1674.0,1276.0,100.0,910.0,3406.0,99.7,0.0,0.0
7,210257.0,1429.0,1153.0,100.0,885.0,3842.0,99.7,1.0,0.0
8,212831.0,1811.0,1406.0,100.0,1041.0,3966.0,99.9,2.0,1.0
