values,unit,isced11,sex,geo,time
39416.0,NR,ED0,T,HU33,2018
0.0,NR,ED0,T,HUZZ,2018
31776.0,NR,ED0,T,IE04,2018
57071.0,NR,ED0,T,IE05,2018
84107.0,NR,ED0,T,IE06,2018
0.0,NR,ED0,T,IEZZ,2018
19020.0,NR,ED0,T,IS00,2018
104105.0,NR,ED0,T,ITC1,2018
3172.0,NR,ED0,T,ITC2,2018
32611.0,NR,ED0,T,ITC3,2018
251775.0,NR,ED0,T,ITC4,2018
32655.0,NR,ED0,T,ITF1,2018
6668.0,NR,ED0,T,ITF2,2018
159400.0,NR,ED0,T,ITF3,2018
100804.0,NR,ED0,T,ITF4,2018
12767.0,NR,ED0,T,ITF5,2018
50930.0,NR,ED0,T,ITF6,2018
127227.0,NR,ED0,T,ITG1,2018
35529.0,NR,ED0,T,ITG2,2018
16698.0,NR,ED0,T,ITH1,2018
15223.0,NR,ED0,T,ITH2,2018
122693.0,NR,ED0,T,ITH3,2018
27874.0,NR,ED0,T,ITH4,2018
107132.0,NR,ED0,T,ITH5,2018
86933.0,NR,ED0,T,ITI1,2018
21407.0,NR,ED0,T,ITI2,2018
37445.0,NR,ED0,T,ITI3,2018
138242.0,NR,ED0,T,ITI4,2018
0.0,NR,ED0,T,ITZZ,2018
,NR,ED0,T,LI00,2018
44362.0,NR,ED0,T,LT01,2018
84535.0,NR,ED0,T,LT02,2018
,NR,ED0,T,LTZZ,2018
17584.0,NR,ED0,T,LU00,2018
96626.0,NR,ED0,T,LV00,2018
20769.0,NR,ED0,T,ME00,2018
37615.0,NR,ED0,T,MK00,2018
,NR,ED0,T,MT00,2018
10194.0,NR,ED0,T,NL11,2018
12772.0,NR,ED0,T,NL12,2018
9138.0,NR,ED0,T,NL13,2018
24109.0,NR,ED0,T,NL21,2018
40319.0,NR,ED0,T,NL22,2018
9650.0,NR,ED0,T,NL23,2018
28724.0,NR,ED0,T,NL31,2018
56110.0,NR,ED0,T,NL32,2018
78304.0,NR,ED0,T,NL33,2018
7044.0,NR,ED0,T,NL34,2018
47872.0,NR,ED0,T,NL41,2018
17763.0,NR,ED0,T,NL42,2018
133054.0,NR,ED0,T,NLZZ,2018
72525.0,NR,ED0,T,NO01,2018
17273.0,NR,ED0,T,NO02,2018
48762.0,NR,ED0,T,NO03,2018
44920.0,NR,ED0,T,NO04,2018
49062.0,NR,ED0,T,NO05,2018
24867.0,NR,ED0,T,NO06,2018
24213.0,NR,ED0,T,NO07,2018
0.0,NR,ED0,T,NOZZ,2018
128998.0,NR,ED0,T,PL21,2018
157459.0,NR,ED0,T,PL22,2018
137179.0,NR,ED0,T,PL41,2018
54184.0,NR,ED0,T,PL42,2018
35067.0,NR,ED0,T,PL43,2018
97561.0,NR,ED0,T,PL51,2018
31828.0,NR,ED0,T,PL52,2018
66616.0,NR,ED0,T,PL61,2018
45582.0,NR,ED0,T,PL62,2018
86019.0,NR,ED0,T,PL63,2018
82470.0,NR,ED0,T,PL71,2018
37594.0,NR,ED0,T,PL72,2018
70334.0,NR,ED0,T,PL81,2018
72288.0,NR,ED0,T,PL82,2018
38444.0,NR,ED0,T,PL84,2018
139010.0,NR,ED0,T,PL91,2018
