values,indic_de,unit,geo,time
44.9,MEDAGEPOP,YR,CH052,2019
44.4,MEDAGEPOP,YR,CH053,2019
42.5,MEDAGEPOP,YR,CH054,2019
41.9,MEDAGEPOP,YR,CH055,2019
45.8,MEDAGEPOP,YR,CH056,2019
42.7,MEDAGEPOP,YR,CH057,2019
41.7,MEDAGEPOP,YR,CH061,2019
44.3,MEDAGEPOP,YR,CH062,2019
43.9,MEDAGEPOP,YR,CH063,2019
44.0,MEDAGEPOP,YR,CH064,2019
45.8,MEDAGEPOP,YR,CH065,2019
43.0,MEDAGEPOP,YR,CH066,2019
46.8,MEDAGEPOP,YR,CH070,2019
37.8,MEDAGEPOP,YR,CY000,2019
41.4,MEDAGEPOP,YR,CZ010,2019
41.7,MEDAGEPOP,YR,CZ020,2019
43.1,MEDAGEPOP,YR,CZ031,2019
43.0,MEDAGEPOP,YR,CZ032,2019
43.6,MEDAGEPOP,YR,CZ041,2019
42.6,MEDAGEPOP,YR,CZ042,2019
42.5,MEDAGEPOP,YR,CZ051,2019
43.5,MEDAGEPOP,YR,CZ052,2019
42.7,MEDAGEPOP,YR,CZ053,2019
43.1,MEDAGEPOP,YR,CZ063,2019
42.4,MEDAGEPOP,YR,CZ064,2019
43.1,MEDAGEPOP,YR,CZ071,2019
43.5,MEDAGEPOP,YR,CZ072,2019
43.2,MEDAGEPOP,YR,CZ080,2019
39.8,MEDAGEPOP,YR,DE111,2019
43.9,MEDAGEPOP,YR,DE112,2019
44.7,MEDAGEPOP,YR,DE113,2019
46.0,MEDAGEPOP,YR,DE114,2019
44.0,MEDAGEPOP,YR,DE115,2019
45.8,MEDAGEPOP,YR,DE116,2019
41.8,MEDAGEPOP,YR,DE117,2019
44.6,MEDAGEPOP,YR,DE118,2019
44.8,MEDAGEPOP,YR,DE119,2019
44.3,MEDAGEPOP,YR,DE11A,2019
47.4,MEDAGEPOP,YR,DE11B,2019
45.9,MEDAGEPOP,YR,DE11C,2019
45.2,MEDAGEPOP,YR,DE11D,2019
49.5,MEDAGEPOP,YR,DE121,2019
40.0,MEDAGEPOP,YR,DE122,2019
46.3,MEDAGEPOP,YR,DE123,2019
46.9,MEDAGEPOP,YR,DE124,2019
36.7,MEDAGEPOP,YR,DE125,2019
40.8,MEDAGEPOP,YR,DE126,2019
47.2,MEDAGEPOP,YR,DE127,2019
46.4,MEDAGEPOP,YR,DE128,2019
42.2,MEDAGEPOP,YR,DE129,2019
46.1,MEDAGEPOP,YR,DE12A,2019
46.5,MEDAGEPOP,YR,DE12B,2019
46.0,MEDAGEPOP,YR,DE12C,2019
37.5,MEDAGEPOP,YR,DE131,2019
46.5,MEDAGEPOP,YR,DE132,2019
46.3,MEDAGEPOP,YR,DE133,2019
45.9,MEDAGEPOP,YR,DE134,2019
46.0,MEDAGEPOP,YR,DE135,2019
46.0,MEDAGEPOP,YR,DE136,2019
43.5,MEDAGEPOP,YR,DE137,2019
44.6,MEDAGEPOP,YR,DE138,2019
45.6,MEDAGEPOP,YR,DE139,2019
45.8,MEDAGEPOP,YR,DE13A,2019
45.2,MEDAGEPOP,YR,DE141,2019
40.1,MEDAGEPOP,YR,DE142,2019
47.1,MEDAGEPOP,YR,DE143,2019
39.8,MEDAGEPOP,YR,DE144,2019
44.3,MEDAGEPOP,YR,DE145,2019
43.5,MEDAGEPOP,YR,DE146,2019
46.5,MEDAGEPOP,YR,DE147,2019
44.3,MEDAGEPOP,YR,DE148,2019
45.7,MEDAGEPOP,YR,DE149,2019
40.9,MEDAGEPOP,YR,DE211,2019
39.8,MEDAGEPOP,YR,DE212,2019
42.5,MEDAGEPOP,YR,DE213,2019
46.4,MEDAGEPOP,YR,DE214,2019
46.6,MEDAGEPOP,YR,DE215,2019
46.0,MEDAGEPOP,YR,DE216,2019
43.5,MEDAGEPOP,YR,DE217,2019
44.0,MEDAGEPOP,YR,DE218,2019
42.5,MEDAGEPOP,YR,DE219,2019
43.5,MEDAGEPOP,YR,DE21A,2019
41.3,MEDAGEPOP,YR,DE21B,2019
45.3,MEDAGEPOP,YR,DE21C,2019
48.6,MEDAGEPOP,YR,DE21D,2019
45.8,MEDAGEPOP,YR,DE21E,2019
47.1,MEDAGEPOP,YR,DE21F,2019
45.1,MEDAGEPOP,YR,DE21G,2019
44.2,MEDAGEPOP,YR,DE21H,2019
44.3,MEDAGEPOP,YR,DE21I,2019
43.7,MEDAGEPOP,YR,DE21J,2019
46.2,MEDAGEPOP,YR,DE21K,2019
47.3,MEDAGEPOP,YR,DE21L,2019
47.0,MEDAGEPOP,YR,DE21M,2019
46.4,MEDAGEPOP,YR,DE21N,2019
43.2,MEDAGEPOP,YR,DE221,2019
41.5,MEDAGEPOP,YR,DE222,2019
45.3,MEDAGEPOP,YR,DE223,2019
45.7,MEDAGEPOP,YR,DE224,2019
48.1,MEDAGEPOP,YR,DE225,2019
44.0,MEDAGEPOP,YR,DE226,2019
44.8,MEDAGEPOP,YR,DE227,2019
47.4,MEDAGEPOP,YR,DE228,2019
47.7,MEDAGEPOP,YR,DE229,2019
46.4,MEDAGEPOP,YR,DE22A,2019
45.8,MEDAGEPOP,YR,DE22B,2019
44.8,MEDAGEPOP,YR,DE22C,2019
47.2,MEDAGEPOP,YR,DE231,2019
38.4,MEDAGEPOP,YR,DE232,2019
46.9,MEDAGEPOP,YR,DE233,2019
47.6,MEDAGEPOP,YR,DE234,2019
46.9,MEDAGEPOP,YR,DE235,2019
45.2,MEDAGEPOP,YR,DE236,2019
47.2,MEDAGEPOP,YR,DE237,2019
45.6,MEDAGEPOP,YR,DE238,2019
46.2,MEDAGEPOP,YR,DE239,2019
48.5,MEDAGEPOP,YR,DE23A,2019
40.2,MEDAGEPOP,YR,DE241,2019
41.9,MEDAGEPOP,YR,DE242,2019
46.8,MEDAGEPOP,YR,DE243,2019
47.0,MEDAGEPOP,YR,DE244,2019
45.9,MEDAGEPOP,YR,DE245,2019
48.4,MEDAGEPOP,YR,DE246,2019
48.7,MEDAGEPOP,YR,DE247,2019
46.6,MEDAGEPOP,YR,DE248,2019
50.7,MEDAGEPOP,YR,DE249,2019
50.2,MEDAGEPOP,YR,DE24A,2019
49.8,MEDAGEPOP,YR,DE24B,2019
48.3,MEDAGEPOP,YR,DE24C,2019
50.8,MEDAGEPOP,YR,DE24D,2019
45.0,MEDAGEPOP,YR,DE251,2019
38.8,MEDAGEPOP,YR,DE252,2019
43.1,MEDAGEPOP,YR,DE253,2019
42.4,MEDAGEPOP,YR,DE254,2019
46.5,MEDAGEPOP,YR,DE255,2019
45.7,MEDAGEPOP,YR,DE256,2019
46.0,MEDAGEPOP,YR,DE257,2019
47.9,MEDAGEPOP,YR,DE258,2019
47.5,MEDAGEPOP,YR,DE259,2019
46.6,MEDAGEPOP,YR,DE25A,2019
46.7,MEDAGEPOP,YR,DE25B,2019
46.9,MEDAGEPOP,YR,DE25C,2019
44.8,MEDAGEPOP,YR,DE261,2019
44.9,MEDAGEPOP,YR,DE262,2019
38.9,MEDAGEPOP,YR,DE263,2019
47.6,MEDAGEPOP,YR,DE264,2019
49.6,MEDAGEPOP,YR,DE265,2019
47.9,MEDAGEPOP,YR,DE266,2019
47.2,MEDAGEPOP,YR,DE267,2019
46.3,MEDAGEPOP,YR,DE268,2019
47.0,MEDAGEPOP,YR,DE269,2019
48.8,MEDAGEPOP,YR,DE26A,2019
47.5,MEDAGEPOP,YR,DE26B,2019
