values,indic_de,unit,geo,time
15.3,PC_Y0_14,PC,CH061,2019
14.8,PC_Y0_14,PC,CH062,2019
14.5,PC_Y0_14,PC,CH063,2019
15.1,PC_Y0_14,PC,CH064,2019
13.6,PC_Y0_14,PC,CH065,2019
15.4,PC_Y0_14,PC,CH066,2019
13.2,PC_Y0_14,PC,CH070,2019
16.1,PC_Y0_14,PC,CY000,2019
15.8,PC_Y0_14,PC,CZ010,2019
17.7,PC_Y0_14,PC,CZ020,2019
15.8,PC_Y0_14,PC,CZ031,2019
15.4,PC_Y0_14,PC,CZ032,2019
15.1,PC_Y0_14,PC,CZ041,2019
16.0,PC_Y0_14,PC,CZ042,2019
16.2,PC_Y0_14,PC,CZ051,2019
15.5,PC_Y0_14,PC,CZ052,2019
15.8,PC_Y0_14,PC,CZ053,2019
15.4,PC_Y0_14,PC,CZ063,2019
15.9,PC_Y0_14,PC,CZ064,2019
15.6,PC_Y0_14,PC,CZ071,2019
15.1,PC_Y0_14,PC,CZ072,2019
15.2,PC_Y0_14,PC,CZ080,2019
13.0,PC_Y0_14,PC,DE111,2019
14.9,PC_Y0_14,PC,DE112,2019
14.0,PC_Y0_14,PC,DE113,2019
13.9,PC_Y0_14,PC,DE114,2019
14.6,PC_Y0_14,PC,DE115,2019
14.1,PC_Y0_14,PC,DE116,2019
14.5,PC_Y0_14,PC,DE117,2019
14.4,PC_Y0_14,PC,DE118,2019
14.2,PC_Y0_14,PC,DE119,2019
14.6,PC_Y0_14,PC,DE11A,2019
13.3,PC_Y0_14,PC,DE11B,2019
14.0,PC_Y0_14,PC,DE11C,2019
14.0,PC_Y0_14,PC,DE11D,2019
11.9,PC_Y0_14,PC,DE121,2019
12.0,PC_Y0_14,PC,DE122,2019
13.8,PC_Y0_14,PC,DE123,2019
13.4,PC_Y0_14,PC,DE124,2019
12.1,PC_Y0_14,PC,DE125,2019
12.9,PC_Y0_14,PC,DE126,2019
13.4,PC_Y0_14,PC,DE127,2019
14.0,PC_Y0_14,PC,DE128,2019
14.9,PC_Y0_14,PC,DE129,2019
14.0,PC_Y0_14,PC,DE12A,2019
13.9,PC_Y0_14,PC,DE12B,2019
14.1,PC_Y0_14,PC,DE12C,2019
13.4,PC_Y0_14,PC,DE131,2019
14.3,PC_Y0_14,PC,DE132,2019
14.3,PC_Y0_14,PC,DE133,2019
14.2,PC_Y0_14,PC,DE134,2019
14.4,PC_Y0_14,PC,DE135,2019
13.7,PC_Y0_14,PC,DE136,2019
15.3,PC_Y0_14,PC,DE137,2019
13.5,PC_Y0_14,PC,DE138,2019
14.6,PC_Y0_14,PC,DE139,2019
14.6,PC_Y0_14,PC,DE13A,2019
14.3,PC_Y0_14,PC,DE141,2019
14.0,PC_Y0_14,PC,DE142,2019
13.4,PC_Y0_14,PC,DE143,2019
13.7,PC_Y0_14,PC,DE144,2019
14.9,PC_Y0_14,PC,DE145,2019
15.4,PC_Y0_14,PC,DE146,2019
13.7,PC_Y0_14,PC,DE147,2019
14.5,PC_Y0_14,PC,DE148,2019
14.1,PC_Y0_14,PC,DE149,2019
14.1,PC_Y0_14,PC,DE211,2019
13.6,PC_Y0_14,PC,DE212,2019
13.6,PC_Y0_14,PC,DE213,2019
13.9,PC_Y0_14,PC,DE214,2019
12.8,PC_Y0_14,PC,DE215,2019
14.3,PC_Y0_14,PC,DE216,2019
14.7,PC_Y0_14,PC,DE217,2019
15.6,PC_Y0_14,PC,DE218,2019
15.4,PC_Y0_14,PC,DE219,2019
14.8,PC_Y0_14,PC,DE21A,2019
14.6,PC_Y0_14,PC,DE21B,2019
14.7,PC_Y0_14,PC,DE21C,2019
12.6,PC_Y0_14,PC,DE21D,2019
14.4,PC_Y0_14,PC,DE21E,2019
13.7,PC_Y0_14,PC,DE21F,2019
14.1,PC_Y0_14,PC,DE21G,2019
15.3,PC_Y0_14,PC,DE21H,2019
14.6,PC_Y0_14,PC,DE21I,2019
14.6,PC_Y0_14,PC,DE21J,2019
14.0,PC_Y0_14,PC,DE21K,2019
14.8,PC_Y0_14,PC,DE21L,2019
13.3,PC_Y0_14,PC,DE21M,2019
14.2,PC_Y0_14,PC,DE21N,2019
13.0,PC_Y0_14,PC,DE221,2019
10.7,PC_Y0_14,PC,DE222,2019
12.0,PC_Y0_14,PC,DE223,2019
13.0,PC_Y0_14,PC,DE224,2019
12.2,PC_Y0_14,PC,DE225,2019
14.5,PC_Y0_14,PC,DE226,2019
14.7,PC_Y0_14,PC,DE227,2019
12.8,PC_Y0_14,PC,DE228,2019
12.6,PC_Y0_14,PC,DE229,2019
13.3,PC_Y0_14,PC,DE22A,2019
13.9,PC_Y0_14,PC,DE22B,2019
13.5,PC_Y0_14,PC,DE22C,2019
12.3,PC_Y0_14,PC,DE231,2019
12.2,PC_Y0_14,PC,DE232,2019
12.1,PC_Y0_14,PC,DE233,2019
12.9,PC_Y0_14,PC,DE234,2019
13.0,PC_Y0_14,PC,DE235,2019
13.9,PC_Y0_14,PC,DE236,2019
13.0,PC_Y0_14,PC,DE237,2019
14.2,PC_Y0_14,PC,DE238,2019
13.1,PC_Y0_14,PC,DE239,2019
12.4,PC_Y0_14,PC,DE23A,2019
12.3,PC_Y0_14,PC,DE241,2019
10.7,PC_Y0_14,PC,DE242,2019
11.7,PC_Y0_14,PC,DE243,2019
13.0,PC_Y0_14,PC,DE244,2019
14.0,PC_Y0_14,PC,DE245,2019
12.9,PC_Y0_14,PC,DE246,2019
12.7,PC_Y0_14,PC,DE247,2019
13.8,PC_Y0_14,PC,DE248,2019
11.7,PC_Y0_14,PC,DE249,2019
11.3,PC_Y0_14,PC,DE24A,2019
11.7,PC_Y0_14,PC,DE24B,2019
12.5,PC_Y0_14,PC,DE24C,2019
11.7,PC_Y0_14,PC,DE24D,2019
13.7,PC_Y0_14,PC,DE251,2019
13.3,PC_Y0_14,PC,DE252,2019
13.5,PC_Y0_14,PC,DE253,2019
13.4,PC_Y0_14,PC,DE254,2019
14.1,PC_Y0_14,PC,DE255,2019
14.0,PC_Y0_14,PC,DE256,2019
14.7,PC_Y0_14,PC,DE257,2019
13.7,PC_Y0_14,PC,DE258,2019
13.5,PC_Y0_14,PC,DE259,2019
13.6,PC_Y0_14,PC,DE25A,2019
13.7,PC_Y0_14,PC,DE25B,2019
13.6,PC_Y0_14,PC,DE25C,2019
13.2,PC_Y0_14,PC,DE261,2019
13.6,PC_Y0_14,PC,DE262,2019
10.6,PC_Y0_14,PC,DE263,2019
13.3,PC_Y0_14,PC,DE264,2019
12.5,PC_Y0_14,PC,DE265,2019
13.3,PC_Y0_14,PC,DE266,2019
13.4,PC_Y0_14,PC,DE267,2019
13.3,PC_Y0_14,PC,DE268,2019
13.4,PC_Y0_14,PC,DE269,2019
12.6,PC_Y0_14,PC,DE26A,2019
13.4,PC_Y0_14,PC,DE26B,2019
13.7,PC_Y0_14,PC,DE26C,2019
12.8,PC_Y0_14,PC,DE271,2019
13.5,PC_Y0_14,PC,DE272,2019
12.9,PC_Y0_14,PC,DE273,2019
13.7,PC_Y0_14,PC,DE274,2019
14.8,PC_Y0_14,PC,DE275,2019
14.5,PC_Y0_14,PC,DE276,2019
13.9,PC_Y0_14,PC,DE277,2019
14.0,PC_Y0_14,PC,DE278,2019
14.0,PC_Y0_14,PC,DE279,2019
13.3,PC_Y0_14,PC,DE27A,2019
14.4,PC_Y0_14,PC,DE27B,2019
14.1,PC_Y0_14,PC,DE27C,2019
14.1,PC_Y0_14,PC,DE27D,2019
13.4,PC_Y0_14,PC,DE27E,2019
14.1,PC_Y0_14,PC,DE300,2019
12.0,PC_Y0_14,PC,DE401,2019
12.3,PC_Y0_14,PC,DE402,2019
12.1,PC_Y0_14,PC,DE403,2019
15.2,PC_Y0_14,PC,DE404,2019
13.6,PC_Y0_14,PC,DE405,2019
13.4,PC_Y0_14,PC,DE406,2019
11.7,PC_Y0_14,PC,DE407,2019
13.8,PC_Y0_14,PC,DE408,2019
13.3,PC_Y0_14,PC,DE409,2019
13.7,PC_Y0_14,PC,DE40A,2019
11.7,PC_Y0_14,PC,DE40B,2019
12.7,PC_Y0_14,PC,DE40C,2019
12.3,PC_Y0_14,PC,DE40D,2019
14.3,PC_Y0_14,PC,DE40E,2019
11.4,PC_Y0_14,PC,DE40F,2019
11.8,PC_Y0_14,PC,DE40G,2019
13.7,PC_Y0_14,PC,DE40H,2019
12.0,PC_Y0_14,PC,DE40I,2019
13.3,PC_Y0_14,PC,DE501,2019
14.5,PC_Y0_14,PC,DE502,2019
14.2,PC_Y0_14,PC,DE600,2019
13.6,PC_Y0_14,PC,DE711,2019
14.5,PC_Y0_14,PC,DE712,2019
15.7,PC_Y0_14,PC,DE713,2019
15.0,PC_Y0_14,PC,DE714,2019
13.3,PC_Y0_14,PC,DE715,2019
14.1,PC_Y0_14,PC,DE716,2019
14.9,PC_Y0_14,PC,DE717,2019
14.9,PC_Y0_14,PC,DE718,2019
13.8,PC_Y0_14,PC,DE719,2019
15.1,PC_Y0_14,PC,DE71A,2019
12.9,PC_Y0_14,PC,DE71B,2019
14.5,PC_Y0_14,PC,DE71C,2019
13.4,PC_Y0_14,PC,DE71D,2019
13.8,PC_Y0_14,PC,DE71E,2019
13.0,PC_Y0_14,PC,DE721,2019
13.6,PC_Y0_14,PC,DE722,2019
13.5,PC_Y0_14,PC,DE723,2019
13.1,PC_Y0_14,PC,DE724,2019
12.2,PC_Y0_14,PC,DE725,2019
13.3,PC_Y0_14,PC,DE731,2019
13.9,PC_Y0_14,PC,DE732,2019
13.2,PC_Y0_14,PC,DE733,2019
12.8,PC_Y0_14,PC,DE734,2019
12.8,PC_Y0_14,PC,DE735,2019
13.2,PC_Y0_14,PC,DE736,2019
12.1,PC_Y0_14,PC,DE737,2019
12.0,PC_Y0_14,PC,DE803,2019
13.3,PC_Y0_14,PC,DE804,2019
12.5,PC_Y0_14,PC,DE80J,2019
13.7,PC_Y0_14,PC,DE80K,2019
12.3,PC_Y0_14,PC,DE80L,2019
13.2,PC_Y0_14,PC,DE80M,2019
12.4,PC_Y0_14,PC,DE80N,2019
12.9,PC_Y0_14,PC,DE80O,2019
12.2,PC_Y0_14,PC,DE911,2019
14.9,PC_Y0_14,PC,DE912,2019
13.9,PC_Y0_14,PC,DE913,2019
14.8,PC_Y0_14,PC,DE914,2019
10.9,PC_Y0_14,PC,DE916,2019
13.0,PC_Y0_14,PC,DE917,2019
12.3,PC_Y0_14,PC,DE918,2019
14.4,PC_Y0_14,PC,DE91A,2019
12.6,PC_Y0_14,PC,DE91B,2019
12.5,PC_Y0_14,PC,DE91C,2019
13.7,PC_Y0_14,PC,DE922,2019
12.9,PC_Y0_14,PC,DE923,2019
12.7,PC_Y0_14,PC,DE925,2019
12.2,PC_Y0_14,PC,DE926,2019
13.7,PC_Y0_14,PC,DE927,2019
12.7,PC_Y0_14,PC,DE928,2019
13.7,PC_Y0_14,PC,DE929,2019
14.1,PC_Y0_14,PC,DE931,2019
13.2,PC_Y0_14,PC,DE932,2019
14.2,PC_Y0_14,PC,DE933,2019
12.2,PC_Y0_14,PC,DE934,2019
14.2,PC_Y0_14,PC,DE935,2019
13.6,PC_Y0_14,PC,DE936,2019
13.7,PC_Y0_14,PC,DE937,2019
13.6,PC_Y0_14,PC,DE938,2019
14.4,PC_Y0_14,PC,DE939,2019
12.3,PC_Y0_14,PC,DE93A,2019
14.5,PC_Y0_14,PC,DE93B,2019
14.4,PC_Y0_14,PC,DE941,2019
13.7,PC_Y0_14,PC,DE942,2019
12.8,PC_Y0_14,PC,DE943,2019
12.6,PC_Y0_14,PC,DE944,2019
11.9,PC_Y0_14,PC,DE945,2019
13.9,PC_Y0_14,PC,DE946,2019
13.4,PC_Y0_14,PC,DE947,2019
16.5,PC_Y0_14,PC,DE948,2019
