values,unit,isced11,geo,time
17.6,RT,ED02-8,ITF4,2018
15.8,RT,ED02-8,ITF5,2018
17.5,RT,ED02-8,ITF6,2018
18.2,RT,ED02-8,ITG1,2018
15.9,RT,ED02-8,ITG2,2018
19.5,RT,ED02-8,ITH1,2018
19.8,RT,ED02-8,ITH2,2018
17.4,RT,ED02-8,ITH3,2018
16.5,RT,ED02-8,ITH4,2018
18.1,RT,ED02-8,ITH5,2018
17.4,RT,ED02-8,ITI1,2018
16.9,RT,ED02-8,ITI2,2018
18.4,RT,ED02-8,ITI3,2018
19.0,RT,ED02-8,ITI4,2018
17.6,RT,ED02-8,LI00,2018
24.6,RT,ED02-8,LT01,2018
19.6,RT,ED02-8,LT02,2018
18.6,RT,ED02-8,LU00,2018
20.8,RT,ED02-8,LV00,2018
,RT,ED02-8,ME00,2018
17.1,RT,ED02-8,MK00,2018
17.3,RT,ED02-8,MT00,2018
25.7,RT,ED02-8,NL11,2018
23.6,RT,ED02-8,NL12,2018
21.8,RT,ED02-8,NL13,2018
24.2,RT,ED02-8,NL21,2018
23.8,RT,ED02-8,NL22,2018
25.8,RT,ED02-8,NL23,2018
25.0,RT,ED02-8,NL31,2018
22.7,RT,ED02-8,NL32,2018
23.7,RT,ED02-8,NL33,2018
20.3,RT,ED02-8,NL34,2018
22.4,RT,ED02-8,NL41,2018
19.7,RT,ED02-8,NL42,2018
26.5,RT,ED02-8,NO01,2018
23.9,RT,ED02-8,NO02,2018
22.5,RT,ED02-8,NO03,2018
26.3,RT,ED02-8,NO04,2018
26.4,RT,ED02-8,NO05,2018
30.0,RT,ED02-8,NO06,2018
25.0,RT,ED02-8,NO07,2018
22.5,RT,ED02-8,PL21,2018
18.6,RT,ED02-8,PL22,2018
21.9,RT,ED02-8,PL41,2018
18.0,RT,ED02-8,PL42,2018
17.6,RT,ED02-8,PL43,2018
20.1,RT,ED02-8,PL51,2018
17.8,RT,ED02-8,PL52,2018
19.7,RT,ED02-8,PL61,2018
18.5,RT,ED02-8,PL62,2018
21.6,RT,ED02-8,PL63,2018
19.6,RT,ED02-8,PL71,2018
18.1,RT,ED02-8,PL72,2018
20.3,RT,ED02-8,PL81,2018
19.2,RT,ED02-8,PL82,2018
19.0,RT,ED02-8,PL84,2018
27.8,RT,ED02-8,PL91,2018
18.4,RT,ED02-8,PL92,2018
,RT,ED02-8,PLZZ,2018
18.7,RT,ED02-8,PT11,2018
18.6,RT,ED02-8,PT15,2018
18.0,RT,ED02-8,PT16,2018
21.9,RT,ED02-8,PT17,2018
